study,country_iso3,country_name,construct_id,construct_label,n,mean,sd,se,ci_lower,ci_upper,scale_min,scale_max
S2,LTU,Lithuania,expl,Exploitation by foreign powers,582,3.8513745704467355,1.6971774180088106,0.07324035370721653,3.719218928980527,3.9948238831615113,1,7
S2,LTU,Lithuania,gay,Opposition to LGBT+ values,582,4.346506300114547,2.1350507226559414,0.0898847691968669,4.176221840397098,4.520966972126766,1,7
S2,LTU,Lithuania,migr,Opposition to migration,582,5.11282932416953,1.6095382805800167,0.06671436955450172,4.979591447117221,5.241876670484918,1,7
S2,LTU,Lithuania,abanf,Abandoned by foreign allies,582,3.8350515463917523,1.6691309685310731,0.06703807270505084,3.7083333333333335,3.9757982531500575,1,7
S2,LTU,Lithuania,abanh,Abandoned by own state,582,3.8876288659793814,1.8433538467128705,0.07771757631678368,3.7406758304696446,4.047253722794959,1,7
S2,LTU,Lithuania,abanm,Abandoned by media,582,3.566151202749141,1.939690155134201,0.08045897552594805,3.402061855670103,3.7200672966781214,1,7
S2,LTU,Lithuania,pragr,Pragmatism toward Russia,582,3.019759450171821,1.8551332543140027,0.0777966610479057,2.8592640320733107,3.1692332474226803,1,7
S2,LTU,Lithuania,pragch,Pragmatism toward China,582,3.7379725085910653,1.6137092720958748,0.06847624258949216,3.6024293623520425,3.873592019854906,1,7
S2,LTU,Lithuania,supr,Superiority of Russia,582,2.34163802978236,1.5622414489900465,0.06399548658038456,2.216788373424971,2.4680173730431463,1,7
S2,LTU,Lithuania,supch,Superiority of China,582,3.302561699468916,1.4126149917985653,0.058622033027226676,3.184687076955118,3.420066645839842,1,7
S3,DEU,Germany,expl,Exploitation by foreign powers,782,3.6620843989769787,1.6228081060549588,0.05793981865339962,3.5532875106564363,3.779832693947144,1,7
S3,DEU,Germany,gay,Opposition to LGBT+ values,782,2.848252344416025,1.9588138504322914,0.07209740300740693,2.71227621483376,2.995311167945439,1,7
S3,DEU,Germany,migr,Opposition to migration,782,4.251491901108271,2.021539276488275,0.07107990255593491,4.113572747939756,4.3907324524012505,1,7
S3,DEU,Germany,abanf,Abandoned by foreign allies,782,3.290920716112527,1.6294703259040324,0.05750518783089048,3.1823422847399834,3.4097373188405795,1,7
S3,DEU,Germany,abanh,Abandoned by own state,782,3.815601023017903,1.919029867049068,0.06815010115089008,3.686114663256607,3.951462063086104,1,7
S3,DEU,Germany,abanm,Abandoned by media,782,3.204603580562658,1.964477569680985,0.06916742059457574,3.0700367647058826,3.343544863597613,1,7
S3,DEU,Germany,pragr,Pragmatism toward Russia,782,3.4849744245524263,1.9125858334746182,0.06805531367322076,3.3542279411764713,3.6184969096334183,1,7
S3,DEU,Germany,pragch,Pragmatism toward China,782,3.6888320545609523,1.6662202645661837,0.059690692848796106,3.574122620062518,3.8032040352372833,1,7
S3,DEU,Germany,supr,Superiority of Russia,782,2.933077578857632,1.5753236333121021,0.05555975282151179,2.828722648479682,3.0436132423984086,1,7
S3,DEU,Germany,supch,Superiority of China,782,3.7258777028598002,1.4142428032710384,0.051105856301714714,3.627395760675812,3.825964891885608,1,7
