study,country_iso3,country_name,construct_id,construct_label,n,mean,sd,se,ci_lower,ci_upper,scale_min,scale_max
S2,LTU,Lithuania,threat,Ideological threat,582,4.053837342497136,1.6292893061185534,0.06974073036224183,3.916003245513555,4.189380488736159,1,7
S2,LTU,Lithuania,aband,Betrayal / abandonment,582,3.797823596792669,1.667463675698239,0.07039988701880946,3.6634259259259263,3.940812332951508,1,7
S2,LTU,Lithuania,fear,Fear / pragmatic accommodation,582,4.329037800687285,1.922437163907073,0.08272370334239951,4.1618055555555555,4.497694730813288,1,7
S2,LTU,Lithuania,admir,Foreign-power admiration,582,2.141466208476518,1.4410168805176014,0.058418075814073156,2.0302644138984345,2.2631658075601373,1,7
S2,LTU,Lithuania,gen,General disinformation acceptance,582,3.8608247422680413,1.08233094868662,0.045796019615869855,3.7681586483390603,3.9479925544100802,1,7
S3,DEU,Germany,threat,Ideological threat,782,3.3486786018755335,1.6695384013579813,0.05913524849765037,3.2362922705314014,3.4610649332196646,1,7
S3,DEU,Germany,aband,Betrayal / abandonment,782,3.721227621483376,1.727446938548778,0.06070987358479612,3.5986217675475984,3.837595907928389,1,7
S3,DEU,Germany,fear,Fear / pragmatic accommodation,782,4.042838874680319,2.016517864842624,0.0704002642157187,3.905370843989769,4.1826459931798805,1,7
S3,DEU,Germany,admir,Foreign-power admiration,782,2.4789002557544757,1.518610152218203,0.05548555913353767,2.3726218385905087,2.59662901392441,1,7
S3,DEU,Germany,gen,General disinformation acceptance,782,3.80920716112532,1.2304365154240915,0.043895468804724565,3.7271973572037513,3.8975234441602726,1,7
