country_iso3,country_name,cluster,fimi_variant,factor,alpha_raw,alpha,se,ci_lower,ci_upper,z,pvalue,grand_mean,is_reference,sig_95,sig_90
AUT,Austria,Western,chinese,GEN,0.037515054917015185,0.0011038553205889728,0.01858376467316836,-0.035319654135988775,0.03752736477716672,2.0187004935108885,0.043518358678558355,0.03641119959642621,FALSE,FALSE,FALSE
BEL,Belgium,Western,chinese,GEN,0,-0.03641119959642621,0,-0.03641119959642621,-0.03641119959642621,NA,NA,0.03641119959642621,TRUE,TRUE,TRUE
BGR,Bulgaria,Central-East,chinese,GEN,0.2729831066557981,0.2365719070593719,0.03240292907897902,0.1730633330709674,0.3000804810477764,8.424642907757754,0,0.03641119959642621,FALSE,TRUE,TRUE
DEU,Germany,Western,chinese,GEN,0.03219293265196004,-0.00421826694446617,0.01859632504112254,-0.04066639426986668,0.032229860380934346,1.7311448676429868,0.08342592964404427,0.03641119959642621,FALSE,FALSE,FALSE
EST,Estonia,Baltic,chinese,GEN,-0.14408340092071145,-0.18049460051713767,0.022156592183913956,-0.22392072321775067,-0.13706847781652468,-6.502958565321174,7.875544660862488e-11,0.03641119959642621,FALSE,TRUE,TRUE
FRA,France,Western,chinese,GEN,0.029974428852765102,-0.00643677074366111,0.01832743541887635,-0.04235788409364251,0.02948434260632029,1.6354949924904894,0.10194532356606212,0.03641119959642621,FALSE,FALSE,FALSE
HUN,Hungary,Central-East,chinese,GEN,0.06002895511532329,0.023617755518897075,0.018205197803103906,-0.012063776506614284,0.059299287544408434,3.2973525344002916,9.76009117270138e-4,0.03641119959642621,FALSE,FALSE,FALSE
ITA,Italy,Southern,chinese,GEN,0.03147821702392115,-0.00493298257250506,0.018370342509336127,-0.04093819227446902,0.031072227129458903,1.7135345738885042,0.08661423839285831,0.03641119959642621,FALSE,FALSE,FALSE
LTU,Lithuania,Baltic,chinese,GEN,-0.12481987440578032,-0.16123107400220654,0.0206143080761528,-0.2016343753976792,-0.12082777260673389,-6.055011594115807,1.4040755225153134e-9,0.03641119959642621,FALSE,TRUE,TRUE
LVA,Latvia,Baltic,chinese,GEN,-0.09356346303694112,-0.12997466263336732,0.019549626122251314,-0.16829122574420333,-0.09165809952253132,-4.785946414108018,1.7018346223363068e-6,0.03641119959642621,FALSE,TRUE,TRUE
POL,Poland,Central-East,chinese,GEN,-0.041503967491552066,-0.07791516708797827,0.018895698090204693,-0.11495005480752174,-0.04088027936843481,-2.1964770654896966,0.028057814959612903,0.03641119959642621,FALSE,TRUE,TRUE
SRB,Serbia,Southern,chinese,GEN,0.24521293701412153,0.2088017374176953,0.029292802238289613,0.1513889000243934,0.26621457481099725,8.371098641208023,0,0.03641119959642621,FALSE,TRUE,TRUE
TUR,Turkey,Southern,chinese,GEN,0.1679306683776213,0.13151946878119508,0.023516348616303154,0.08542827244535259,0.17761066511703757,7.141017983599724,9.263700917472306e-13,0.03641119959642621,FALSE,TRUE,TRUE
AUT,Austria,Western,chinese,THREAT,-0.003291458224017486,-0.2531108996478306,0.09549310984928715,-0.4402739557241605,-0.06594784357150077,-0.03446801794613517,0.9725039451687636,0.24981944142381315,FALSE,TRUE,TRUE
BEL,Belgium,Western,chinese,THREAT,0,-0.24981944142381315,0,-0.24981944142381315,-0.24981944142381315,NA,NA,0.24981944142381315,TRUE,TRUE,TRUE
BGR,Bulgaria,Central-East,chinese,THREAT,0.9846135475854724,0.7347941061616592,0.0938591648551696,0.5508335234265193,0.9187546888967991,10.490329304600046,0,0.24981944142381315,FALSE,TRUE,TRUE
DEU,Germany,Western,chinese,THREAT,0.008930323919954202,-0.24088911750385894,0.09364981992143716,-0.4244393917085374,-0.057338843299180486,0.09535868758152286,0.9240299290270859,0.24981944142381315,FALSE,TRUE,TRUE
EST,Estonia,Baltic,chinese,THREAT,-0.44768077122281574,-0.6975002126466289,0.10173035860824668,-0.8968880516531367,-0.4981123736401212,-4.400660504371061,1.07921864276328e-5,0.24981944142381315,FALSE,TRUE,TRUE
FRA,France,Western,chinese,THREAT,0.07760395073152776,-0.1722154906922854,0.08969601270913605,-0.34801644515903896,0.0035854637744681395,0.8651884112527931,0.38693538498371893,0.24981944142381315,FALSE,FALSE,TRUE
HUN,Hungary,Central-East,chinese,THREAT,0.10001659147559575,-0.1498028499482174,0.09358208880645726,-0.3332203736069025,0.033614673710467696,1.0687578440618704,0.28517879936721724,0.24981944142381315,FALSE,FALSE,FALSE
ITA,Italy,Southern,chinese,THREAT,0.20208572995360805,-0.04773371147020511,0.09155936163194611,-0.22718676271629792,0.1317193397758877,2.2071552963197814,0.02730321169936234,0.24981944142381315,FALSE,FALSE,FALSE
LTU,Lithuania,Baltic,chinese,THREAT,0.07128414782775862,-0.17853529359605452,0.099174386563829,-0.3729135194500124,0.015842932257903314,0.718775787757254,0.4722790782219912,0.24981944142381315,FALSE,FALSE,TRUE
LVA,Latvia,Baltic,chinese,THREAT,0.05051187770767466,-0.1993075637161385,0.09789735567555151,-0.3911828550219273,-0.007432272410349744,0.5159677435525389,0.6058769382988314,0.24981944142381315,FALSE,TRUE,TRUE
POL,Poland,Central-East,chinese,THREAT,0.3353672698645963,0.08554782844078315,0.09332821124972197,-0.09737210435021779,0.26846776123178406,3.5934179534121884,3.263684480863116e-4,0.24981944142381315,FALSE,FALSE,FALSE
SRB,Serbia,Southern,chinese,THREAT,1.074758563948399,0.8249391225245858,0.09171435598531048,0.6451822879280917,1.00469595712108,11.7185423416214,0,0.24981944142381315,FALSE,TRUE,TRUE
TUR,Turkey,Southern,chinese,THREAT,0.7934529649418174,0.5436335235180042,0.08957761924429586,0.3680646159783423,0.7192024310576661,8.857714366999579,0,0.24981944142381315,FALSE,TRUE,TRUE
AUT,Austria,Western,chinese,ABAND,0.019530934872080855,-0.15111422609815778,0.08089363447676741,-0.30966283625116947,0.007434384054853915,0.24143970039682325,0.8092143462010186,0.17064516097023863,FALSE,FALSE,TRUE
BEL,Belgium,Western,chinese,ABAND,0,-0.17064516097023863,0,-0.17064516097023863,-0.17064516097023863,NA,NA,0.17064516097023863,TRUE,TRUE,TRUE
BGR,Bulgaria,Central-East,chinese,ABAND,0.6400380115785584,0.4693928506083198,0.07660257261812312,0.3192545671536844,0.6195311340629552,8.355307004756316,0,0.17064516097023863,FALSE,TRUE,TRUE
DEU,Germany,Western,chinese,ABAND,-0.05494672718796912,-0.22559188815820774,0.07644253312807794,-0.37541649997625043,-0.07576727634016506,-0.7187978333463515,0.4722654928456014,0.17064516097023863,FALSE,TRUE,TRUE
EST,Estonia,Baltic,chinese,ABAND,-0.6690031995573499,-0.8396483605275885,0.08255455075579755,-1.0014523067688357,-0.6778444142863415,-8.103771305549353,4.440892098500626e-16,0.17064516097023863,FALSE,TRUE,TRUE
FRA,France,Western,chinese,ABAND,0.10195323795581612,-0.0686919230144225,0.07475314003053593,-0.2152053852055523,0.07782153917670728,1.363865623760677,0.17260986181309979,0.17064516097023863,FALSE,FALSE,FALSE
HUN,Hungary,Central-East,chinese,ABAND,0.28295126714210433,0.1123061061718657,0.08375890908293501,-0.051858339015051685,0.27647055135878307,3.3781632335007648,7.297175076752538e-4,0.17064516097023863,FALSE,FALSE,FALSE
ITA,Italy,Southern,chinese,ABAND,0.267478660259588,0.09683349928934937,0.07308455482522049,-0.04640959599422578,0.24007659457292452,3.6598520836482504,2.5236088008084856e-4,0.17064516097023863,FALSE,FALSE,FALSE
LTU,Lithuania,Baltic,chinese,ABAND,-0.21112662831703527,-0.3817717892872739,0.08092097750408726,-0.5403739907890608,-0.22316958778548698,-2.6090469347873535,0.009079478823660336,0.17064516097023863,FALSE,TRUE,TRUE
LVA,Latvia,Baltic,chinese,ABAND,-0.12034629128380282,-0.29099145225404144,0.07821966434754683,-0.4442991772580449,-0.13768372725003797,-1.538568239683033,0.12390973718490761,0.17064516097023863,FALSE,TRUE,TRUE
POL,Poland,Central-East,chinese,ABAND,0.1384950081089234,-0.03215015286131523,0.07652056320473727,-0.1821277008193211,0.1178273950966906,1.8099057600813553,0.07031040274380707,0.17064516097023863,FALSE,FALSE,FALSE
SRB,Serbia,Southern,chinese,ABAND,1.0210919481291987,0.85044678715896,0.0767766424827936,0.6999673330387768,1.0009262412791433,13.29951291316282,0,0.17064516097023863,FALSE,TRUE,TRUE
TUR,Turkey,Southern,chinese,ABAND,0.8022708709129894,0.6316257099427508,0.08039691557042168,0.4740506509566169,0.7892007689288847,9.978876244453186,0,0.17064516097023863,FALSE,TRUE,TRUE
AUT,Austria,Western,chinese,FEAR,-0.055778483524504034,-0.07783358312516894,0.08164098592315812,-0.23784697519690035,0.08217980894656246,-0.683216682084213,0.49446993286651697,0.02205509960066491,FALSE,FALSE,FALSE
BEL,Belgium,Western,chinese,FEAR,0,-0.02205509960066491,0,-0.02205509960066491,-0.02205509960066491,NA,NA,0.02205509960066491,TRUE,TRUE,TRUE
BGR,Bulgaria,Central-East,chinese,FEAR,0.10976852411830784,0.08771342451764294,0.08689175498375593,-0.08259128580399738,0.2580181348392832,1.2632789398583173,0.20648895205743578,0.02205509960066491,FALSE,FALSE,FALSE
DEU,Germany,Western,chinese,FEAR,-0.12655743324468133,-0.14861253284534623,0.08081588119051018,-0.3070087493576142,0.009783683666921665,-1.5659970711244606,0.11734930283235578,0.02205509960066491,FALSE,FALSE,TRUE
EST,Estonia,Baltic,chinese,FEAR,-0.005609917878340439,-0.02766501747900535,0.0864328124255135,-0.19707021691551785,0.14174018195750715,-0.06490495589478802,0.9482496746833289,0.02205509960066491,FALSE,FALSE,FALSE
FRA,France,Western,chinese,FEAR,-0.03961047387803647,-0.06166557347870138,0.07908131844961834,-0.2166621094898962,0.09333096253249343,-0.5008828210580705,0.6164535933390491,0.02205509960066491,FALSE,FALSE,FALSE
HUN,Hungary,Central-East,chinese,FEAR,-0.36186573629296,-0.3839208358936249,0.08323522674234217,-0.5470588825536407,-0.2207827892336091,-4.347507064684635,1.376936369368309e-5,0.02205509960066491,FALSE,TRUE,TRUE
ITA,Italy,Southern,chinese,FEAR,0.2763842580474648,0.2543291584467999,0.07972085178535301,0.09807916013065235,0.41057915676294743,3.466900464029468,5.264968142060233e-4,0.02205509960066491,FALSE,TRUE,TRUE
LTU,Lithuania,Baltic,chinese,FEAR,0.27999454730522344,0.2579394477045585,0.08669892541219305,0.08801267639833574,0.4278662190107813,3.229504240958515,0.0012400504217771058,0.02205509960066491,FALSE,TRUE,TRUE
LVA,Latvia,Baltic,chinese,FEAR,0.2607360395204501,0.2386809399197852,0.08435251175380279,0.07335305487684018,0.4040088249627302,3.0910287565763634,0.0019946431549142662,0.02205509960066491,FALSE,TRUE,TRUE
POL,Poland,Central-East,chinese,FEAR,0.15835938918275075,0.13630428958208585,0.08387321716726512,-0.02808419533326032,0.300692774497432,1.88808054026282,0.05901513886699883,0.02205509960066491,FALSE,FALSE,FALSE
SRB,Serbia,Southern,chinese,FEAR,-0.17028201301949716,-0.19233711262016207,0.09072986270731787,-0.3701643758487688,-0.014509849391555342,-1.876802278085702,0.060545198132899714,0.02205509960066491,FALSE,TRUE,TRUE
TUR,Turkey,Southern,chinese,FEAR,-0.03882240552753365,-0.06087750512819856,0.08504852807772312,-0.22756955709867938,0.10581454684228225,-0.45647357344097833,0.6480494698681354,0.02205509960066491,FALSE,FALSE,FALSE
AUT,Austria,Western,chinese,SUPF,0.06609696273995075,-0.01648714742193659,0.10845916434749082,-0.22906320333632924,0.19608890849245603,0.6094179605531866,0.5422474360162051,0.08258411016188734,FALSE,FALSE,FALSE
BEL,Belgium,Western,chinese,SUPF,0,-0.08258411016188734,0,-0.08258411016188734,-0.08258411016188734,NA,NA,0.08258411016188734,TRUE,TRUE,TRUE
BGR,Bulgaria,Central-East,chinese,SUPF,1.42129583655545,1.3387117263935626,0.11373650457504478,1.1157922736989998,1.5616311790881254,12.496391038794947,0,0.08258411016188734,FALSE,TRUE,TRUE
DEU,Germany,Western,chinese,SUPF,0.06818435487336179,-0.014399755288525551,0.10577988918552249,-0.22172452838078754,0.19292501780373644,0.6445871270840186,0.5191947792287084,0.08258411016188734,FALSE,FALSE,FALSE
EST,Estonia,Baltic,chinese,SUPF,-1.0189683233946545,-1.1015524335565419,0.0907702548624724,-1.2794588639545095,-0.9236460031585743,-11.225795553163438,0,0.08258411016188734,FALSE,TRUE,TRUE
FRA,France,Western,chinese,SUPF,0.06441938452571432,-0.018164725636173024,0.106097366886444,-0.22611174358813574,0.1897822923157897,0.6071723212006042,0.5437365589267524,0.08258411016188734,FALSE,FALSE,FALSE
HUN,Hungary,Central-East,chinese,SUPF,0.28762848989366524,0.20504437973177791,0.10472158391088247,-2.0615313754086817e-4,0.4102949126010967,2.746601790691359,0.0060216196893940754,0.08258411016188734,FALSE,FALSE,TRUE
ITA,Italy,Southern,chinese,SUPF,0.08780152347824843,0.005217413316361094,0.10703019787020515,-0.20455791976743654,0.21499274640015875,0.8203434659134685,0.4120203341992399,0.08258411016188734,FALSE,FALSE,FALSE
LTU,Lithuania,Baltic,chinese,SUPF,-0.9984607389934035,-1.0810448491552909,0.09289292730466846,-1.2631116410909384,-0.8989780572196433,-10.748511947725266,0,0.08258411016188734,FALSE,TRUE,TRUE
LVA,Latvia,Baltic,chinese,SUPF,-0.7189374876860892,-0.8015215978479766,0.09607060687021794,-0.98981652728651,-0.6132266684094432,-7.483428190032191,7.238654120556021e-14,0.08258411016188734,FALSE,TRUE,TRUE
POL,Poland,Central-East,chinese,SUPF,-0.26647399499255303,-0.34905810515444036,0.10517917875278511,-0.5552055074333997,-0.14291070287548113,-2.5335242027215097,0.011292194187037419,0.08258411016188734,FALSE,TRUE,TRUE
SRB,Serbia,Southern,chinese,SUPF,1.3658221660252543,1.283238055863367,0.10970751999985119,1.068215267830451,1.4982608438962828,12.449667680274851,0,0.08258411016188734,FALSE,TRUE,TRUE
TUR,Turkey,Southern,chinese,SUPF,0.7151852590795912,0.6326011489177038,0.10892299731403593,0.4191159970940404,0.8460863007413673,6.565971160503786,5.1694870606411314e-11,0.08258411016188734,FALSE,TRUE,TRUE
AUT,Austria,Western,chinese,SUPFCH,-5.987967008536603e-4,-0.10466745849763369,0.10094457013049188,-0.3025151803882754,0.09318026339300804,-0.005931935715607,0.995267027834053,0.10406866179678002,FALSE,FALSE,FALSE
BEL,Belgium,Western,chinese,SUPFCH,0,-0.10406866179678002,0,-0.10406866179678002,-0.10406866179678002,NA,NA,0.10406866179678002,TRUE,TRUE,TRUE
BGR,Bulgaria,Central-East,chinese,SUPFCH,1.1204114130948408,1.0163427512980607,0.10221939594475851,0.8159964167248945,1.216689085871227,10.960849482033082,0,0.10406866179678002,FALSE,TRUE,TRUE
DEU,Germany,Western,chinese,SUPFCH,-0.0034875901051415375,-0.10755625190192156,0.10006244913637813,-0.3036750484140937,0.08856254461025055,-0.03485413494515006,0.972196053383148,0.10406866179678002,FALSE,FALSE,FALSE
EST,Estonia,Baltic,chinese,SUPFCH,-0.764638697440336,-0.868707359237116,0.09182729132033797,-1.048685543022846,-0.6887291754513861,-8.32692205602479,0,0.10406866179678002,FALSE,TRUE,TRUE
FRA,France,Western,chinese,SUPFCH,-0.016862470323493486,-0.12093113212027351,0.09985832105356006,-0.316649844941889,0.07478758070134196,-0.16886394789723255,0.8659036573141075,0.10406866179678002,FALSE,FALSE,FALSE
HUN,Hungary,Central-East,chinese,SUPFCH,0.24488481975629398,0.14081615795951397,0.09837729159620784,-0.0519997904656483,0.33363210638467616,2.4892413257464954,0.012801603771670278,0.10406866179678002,FALSE,FALSE,FALSE
ITA,Italy,Southern,chinese,SUPFCH,0.09006464601799008,-0.014004015778789944,0.09936540690794761,-0.2087566346275347,0.18074860306995483,0.9063984018243514,0.36472501840628757,0.10406866179678002,FALSE,FALSE,FALSE
LTU,Lithuania,Baltic,chinese,SUPFCH,-0.7704200237880074,-0.8744886855847874,0.09465760582961168,-1.060014183873615,-0.68896318729596,-8.139018698347401,4.440892098500626e-16,0.10406866179678002,FALSE,TRUE,TRUE
LVA,Latvia,Baltic,chinese,SUPFCH,-0.24307370500543096,-0.347142366802211,0.10144681604353105,-0.545974472593792,-0.14831026101063005,-2.396070320246695,0.0165719106527511,0.10406866179678002,FALSE,TRUE,TRUE
POL,Poland,Central-East,chinese,SUPFCH,0.11310713773028433,0.009038475933504306,0.10015347500613733,-0.18725872800505727,0.20533567987206586,1.1293381255453514,0.2587552235502104,0.10406866179678002,FALSE,FALSE,FALSE
SRB,Serbia,Southern,chinese,SUPFCH,0.89591512709575,0.7918464652989701,0.10254688588942124,0.5908582622289659,0.9928346683689743,8.736639043937783,0,0.10406866179678002,FALSE,TRUE,TRUE
TUR,Turkey,Southern,chinese,SUPFCH,0.6875907430262442,0.5835220812294643,0.10718377834240371,0.3734457359514287,0.7935984265074997,6.41506348870911,1.407642891138039e-10,0.10406866179678002,FALSE,TRUE,TRUE
AUT,Austria,Western,chinese,FIMI,-0.03631380811950569,-0.04862474930149224,0.06982704696692228,-0.1854832465034467,0.0882337479004622,-0.5200536138483399,0.6030262075653878,0.012310941181986551,FALSE,FALSE,FALSE
BEL,Belgium,Western,chinese,FIMI,0,-0.012310941181986551,0,-0.012310941181986551,-0.012310941181986551,NA,NA,0.012310941181986551,TRUE,TRUE,TRUE
BGR,Bulgaria,Central-East,chinese,FIMI,-0.005255238447311132,-0.017566179629297685,0.07297976630846596,-0.1606038931940406,0.12547153393544522,-0.07200952692967862,0.9425943261425251,0.012310941181986551,FALSE,FALSE,FALSE
DEU,Germany,Western,chinese,FIMI,-0.1589618067564105,-0.17127274793839706,0.07056960631199337,-0.3095866347130745,-0.03295886116371962,-2.2525534017240902,0.02428732204235695,0.012310941181986551,FALSE,TRUE,TRUE
EST,Estonia,Baltic,chinese,FIMI,0.16161934735408168,0.14930840617209512,0.0711495301346572,0.009857889591219781,0.2887589227529705,2.2715448302778922,0.02311401632885235,0.012310941181986551,FALSE,TRUE,TRUE
FRA,France,Western,chinese,FIMI,-0.3435669453680625,-0.35587788655004904,0.07840670692563839,-0.5095522082706875,-0.2022035648294106,-4.381856589053082,1.1767225793768432e-5,0.012310941181986551,FALSE,TRUE,TRUE
HUN,Hungary,Central-East,chinese,FIMI,-0.10570619520709106,-0.11801713638907761,0.07056905623937193,-0.25632994504122814,0.020295672263072932,-1.4979114195396508,0.13415626633464295,0.012310941181986551,FALSE,FALSE,TRUE
ITA,Italy,Southern,chinese,FIMI,-0.21026150856914594,-0.2225724497511325,0.06898073459905803,-0.3577722051924022,-0.08737269430986278,-3.048119301588551,0.002302784858760454,0.012310941181986551,FALSE,TRUE,TRUE
LTU,Lithuania,Baltic,chinese,FIMI,0.44089008584368417,0.4285791446616976,0.07562722330153554,0.2803525107399196,0.5768057785834756,5.829780158472806,5.550044424040834e-9,0.012310941181986551,FALSE,TRUE,TRUE
LVA,Latvia,Baltic,chinese,FIMI,0.2645179772184013,0.25220703603641476,0.06988673501366029,0.11523155241254626,0.3891825196602832,3.784952568848692,1.537378970390968e-4,0.012310941181986551,FALSE,TRUE,TRUE
POL,Poland,Central-East,chinese,FIMI,0.19252952914833413,0.18021858796634757,0.07228574542518319,0.03854113033735757,0.3218960455953376,2.663450836895706,0.007734371283328212,0.012310941181986551,FALSE,TRUE,TRUE
SRB,Serbia,Southern,chinese,FIMI,0.10111830276474339,0.08880736158275683,0.07246131055291194,-0.05321419737352268,0.23082892053903636,1.3954799049750257,0.16287117039867383,0.012310941181986551,FALSE,FALSE,FALSE
