country_iso3,country_name,cluster,fimi_variant,factor,alpha_raw,alpha,se,ci_lower,ci_upper,z,pvalue,grand_mean,is_reference,sig_95,sig_90
AUT,Austria,Western,full,GEN,0.03719360757461452,0.0010113898094334592,0.018487358085016937,-0.03522316620649511,0.03724594582536203,2.0118400586808587,0.044236799697449536,0.03618221776518106,FALSE,FALSE,FALSE
BEL,Belgium,Western,full,GEN,0,-0.03618221776518106,0,-0.03618221776518106,-0.03618221776518106,NA,NA,0.03618221776518106,TRUE,TRUE,TRUE
BGR,Bulgaria,Central-East,full,GEN,0.2715652543629996,0.23538303659781856,0.032349990067264245,0.17197822116575218,0.29878785202988495,8.394600857630655,0,0.03618221776518106,FALSE,TRUE,TRUE
DEU,Germany,Western,full,GEN,0.03209563267537325,-0.004086585089807811,0.018502840745664145,-0.040351486562989765,0.032178316383374136,1.7346327040562335,0.08280588295843638,0.03618221776518106,FALSE,FALSE,FALSE
EST,Estonia,Baltic,full,GEN,-0.14340697330438287,-0.17958919106956395,0.02208766396786053,-0.22288021694919363,-0.13629816518993426,-6.49262744639055,8.43520808757603e-11,0.03618221776518106,FALSE,TRUE,TRUE
FRA,France,Western,full,GEN,0.029771521075013924,-0.006410696690167136,0.018236003576761375,-0.042152606922563035,0.029331213542228757,1.632568284476132,0.10255982611156345,0.03618221776518106,FALSE,FALSE,FALSE
HUN,Hungary,Central-East,full,GEN,0.059775728172445815,0.023593510407264755,0.018123262315578922,-0.01192743101364191,0.05911445182817142,3.298287423730663,9.727650468012161e-4,0.03618221776518106,FALSE,FALSE,FALSE
ITA,Italy,Southern,full,GEN,0.03130665454808879,-0.004875563217092267,0.018277347847379426,-0.04069850673086662,0.030947380296682078,1.7128663747884783,0.0867371256017484,0.03618221776518106,FALSE,FALSE,FALSE
LTU,Lithuania,Baltic,full,GEN,-0.12461603485562268,-0.16079825262080374,0.02057137671905272,-0.2011174101025528,-0.12047909513905468,-6.0577391857398775,1.380479952572955e-9,0.03618221776518106,FALSE,TRUE,TRUE
LVA,Latvia,Baltic,full,GEN,-0.09306434514453173,-0.1292465629097128,0.01947413466963713,-0.16741516549228436,-0.09107796032714119,-4.77886934250444,1.7628369788358356e-6,0.03618221776518106,FALSE,TRUE,TRUE
POL,Poland,Central-East,full,GEN,-0.041399024457549956,-0.07758124222273102,0.018810148167700182,-0.11444845517528544,-0.04071402927017658,-2.200887738281521,0.02774397219199498,0.03618221776518106,FALSE,TRUE,TRUE
SRB,Serbia,Southern,full,GEN,0.24395103363544615,0.20776881587026508,0.029249045470582623,0.1504417401657488,0.2650958915747814,8.34047845700815,0,0.03618221776518106,FALSE,TRUE,TRUE
TUR,Turkey,Southern,full,GEN,0.16719577666545885,0.13101355890027777,0.023462863311557825,0.08502719183543828,0.17699992596511732,7.1259749692654974,1.0333955913210957e-12,0.03618221776518106,FALSE,TRUE,TRUE
AUT,Austria,Western,full,THREAT,-0.0044288069421245515,-0.25328171633419544,0.09552360182502771,-0.4405045355847943,-0.06605889708359658,-0.04636348355285928,0.9630205411011525,0.2488529093920709,FALSE,TRUE,TRUE
BEL,Belgium,Western,full,THREAT,0,-0.2488529093920709,0,-0.2488529093920709,-0.2488529093920709,NA,NA,0.2488529093920709,TRUE,TRUE,TRUE
BGR,Bulgaria,Central-East,full,THREAT,0.983547656883551,0.73469474749148,0.09389720643442695,0.5506596046310808,0.9187298903518795,10.474727568923052,0,0.2488529093920709,FALSE,TRUE,TRUE
DEU,Germany,Western,full,THREAT,0.008311034165756943,-0.24054187522631396,0.09367735412540733,-0.42414611547911696,-0.05693763497351098,0.08871977911151112,0.9293046130628895,0.2488529093920709,FALSE,TRUE,TRUE
EST,Estonia,Baltic,full,THREAT,-0.44914447341735736,-0.6979973828094282,0.10177574713973445,-0.8974741817029632,-0.4985205839158934,-4.4130795994127965,1.0191050569208215e-5,0.2488529093920709,FALSE,TRUE,TRUE
FRA,France,Western,full,THREAT,0.07868115799257867,-0.1701717513994922,0.08967872324684333,-0.34593881914283997,0.005595316343855572,0.877367062597518,0.38028729734340505,0.2488529093920709,FALSE,FALSE,TRUE
HUN,Hungary,Central-East,full,THREAT,0.09861948028348402,-0.15023342910858686,0.09363844835916445,-0.3337614154607629,0.03329455724358915,1.0531943022508667,0.29225194931166465,0.2488529093920709,FALSE,FALSE,FALSE
ITA,Italy,Southern,full,THREAT,0.20129757456277214,-0.047555334829298745,0.09161817411719446,-0.2271236564283196,0.13201298676972212,2.197135846707445,0.02801074566347106,0.2488529093920709,FALSE,FALSE,FALSE
LTU,Lithuania,Baltic,full,THREAT,0.0697656983758978,-0.1790872110161731,0.09920352941360928,-0.37352255580610716,0.015348133773760986,0.7032582286969213,0.4818948372575562,0.2488529093920709,FALSE,FALSE,TRUE
LVA,Latvia,Baltic,full,THREAT,0.04820139841457387,-0.200651510977497,0.09800700543172329,-0.3927417118562961,-0.008561310098697983,0.49181584726770816,0.62284953256517706,0.2488529093920709,FALSE,TRUE,TRUE
POL,Poland,Central-East,full,THREAT,0.334163851798997,0.0853109424069261,0.09336755520556522,-0.09768610312053694,0.2683079879343892,3.5790146915946983,3.44892081308501e-4,0.2488529093920709,FALSE,FALSE,FALSE
SRB,Serbia,Southern,full,THREAT,1.0736595885442752,0.8248066791522044,0.09173170253639905,0.6450158459403208,1.004597512364088,11.704346031496016,0,0.2488529093920709,FALSE,TRUE,TRUE
TUR,Turkey,Southern,full,THREAT,0.7924136614345167,0.5435607520424459,0.08952790408261886,0.3680892844291565,0.7190322196557353,8.851024376749121,0,0.2488529093920709,FALSE,TRUE,TRUE
AUT,Austria,Western,full,ABAND,0.018902376165472617,-0.15212730753549525,0.08084685480234252,-0.31058423121142564,0.006329616140435174,0.2338047189551884,0.8151365859086259,0.17102968370096785,FALSE,FALSE,TRUE
BEL,Belgium,Western,full,ABAND,0,-0.17102968370096785,0,-0.17102968370096785,-0.17102968370096785,NA,NA,0.17102968370096785,TRUE,TRUE,TRUE
BGR,Bulgaria,Central-East,full,ABAND,0.6397226143716233,0.46869293067065543,0.07652745764223978,0.31870186986345095,0.6186839914778599,8.35938673622583,0,0.17102968370096785,FALSE,TRUE,TRUE
DEU,Germany,Western,full,ABAND,-0.05485101904148454,-0.2258807027424524,0.07636794249859914,-0.3755591196131325,-0.07620228587177233,-0.7182466522846376,0.47260521731173766,0.17102968370096785,FALSE,TRUE,TRUE
EST,Estonia,Baltic,full,ABAND,-0.6679850938423575,-0.8390147775433253,0.08246708113518854,-1.0006472864784375,-0.6773822686082133,-8.10002105867343,4.440892098500626e-16,0.17102968370096785,FALSE,TRUE,TRUE
FRA,France,Western,full,ABAND,0.10287850788514012,-0.06815117581582773,0.07462777720887283,-0.21441893139149754,0.07811657975984207,1.378555167162455,0.16803194754535578,0.17102968370096785,FALSE,FALSE,FALSE
HUN,Hungary,Central-East,full,ABAND,0.2870507107551615,0.11602102705419362,0.08295530823868592,-0.046568389420049566,0.2786104435284368,3.4603055169083965,5.395628318227708e-4,0.17102968370096785,FALSE,FALSE,FALSE
ITA,Italy,Southern,full,ABAND,0.26725013245550816,0.0962204487545403,0.07302477935354851,-0.04690548875739886,0.2393463862664795,3.6597184520287307,2.524925155806823e-4,0.17102968370096785,FALSE,FALSE,FALSE
LTU,Lithuania,Baltic,full,ABAND,-0.21098508558259704,-0.3820147692835649,0.08084795454136559,-0.5404738484083729,-0.22355569015875687,-2.609652733695906,0.009063417669774365,0.17102968370096785,FALSE,TRUE,TRUE
LVA,Latvia,Baltic,full,ABAND,-0.12001419037958276,-0.2910438740805506,0.07814372923920088,-0.4442027690070338,-0.1378849791540674,-1.535813449755064,0.12458414007983154,0.17102968370096785,FALSE,TRUE,TRUE
POL,Poland,Central-East,full,ABAND,0.13853715655267698,-0.03249252714829087,0.07643497978042552,-0.1823023346769721,0.11731728038039033,1.8124837208128026,0.0699114870758184,0.17102968370096785,FALSE,FALSE,FALSE
SRB,Serbia,Southern,full,ABAND,1.020658499202602,0.8496288155016342,0.07670597751374789,0.6992878621757491,0.9999697688275192,13.30611423366153,0,0.17102968370096785,FALSE,TRUE,TRUE
TUR,Turkey,Southern,full,ABAND,0.8022212795704192,0.6311915958694514,0.08024875604224445,0.47390692422251124,0.7884762675163915,9.996681807106329,0,0.17102968370096785,FALSE,TRUE,TRUE
AUT,Austria,Western,full,FEAR,-0.05600359873772541,-0.07734698973385237,0.08157672205840925,-0.23723442694516864,0.08254044747746392,-0.686514453199365,0.4923887533577529,0.021343390996126956,FALSE,FALSE,FALSE
BEL,Belgium,Western,full,FEAR,0,-0.021343390996126956,0,-0.021343390996126956,-0.021343390996126956,NA,NA,0.021343390996126956,TRUE,TRUE,TRUE
BGR,Bulgaria,Central-East,full,FEAR,0.1094627982995798,0.08811940730345286,0.08678476033785898,-0.08197559736569085,0.25821441197259654,1.2613135978417602,0.20719588398026745,0.021343390996126956,FALSE,FALSE,FALSE
DEU,Germany,Western,full,FEAR,-0.12755872506600857,-0.14890211606213552,0.08075210079979195,-0.3071733253056758,0.00936909318140474,-1.579633517922511,0.11419081869136294,0.021343390996126956,FALSE,FALSE,TRUE
EST,Estonia,Baltic,full,FEAR,-0.0064150115142166475,-0.027758402510343602,0.0863307724621288,-0.19696360729363827,0.1414468022729511,-0.07430735682378792,0.9407658233186769,0.021343390996126956,FALSE,FALSE,FALSE
FRA,France,Western,full,FEAR,-0.04047158579893317,-0.06181497679506012,0.07901035518148061,-0.21667242735647974,0.09304247376635949,-0.5122314120215394,0.6084890612643754,0.021343390996126956,FALSE,FALSE,FALSE
HUN,Hungary,Central-East,full,FEAR,-0.3621798418722762,-0.3835232328684032,0.0831859725480625,-0.5465647430815432,-0.22048172265526306,-4.353857156181218,1.3376288417354942e-5,0.021343390996126956,FALSE,TRUE,TRUE
