country_iso3,country_name,cluster,n,mean_R,mean_CH,difference,se,ci_lower,ci_upper,ci_excludes_zero
FRA,France,Western,596,5.057718120805369,4.133668903803132,0.9240492170022372,0.05945850591283664,0.8094752050708427,1.0486055182699479,TRUE
ITA,Italy,Southern,606,5.092739273927393,4.268426842684269,0.8243124312431243,0.05030129327338062,0.7316831683168317,0.9223294829482949,TRUE
LVA,Latvia,Baltic,596,5.416778523489933,4.680648769574944,0.7361297539149888,0.0481595139729244,0.6413516032811335,0.8296718866517523,TRUE
EST,Estonia,Baltic,604,5.298013245033113,4.597682119205298,0.7003311258278146,0.047690421526372075,0.6054598969830758,0.7948822663723327,TRUE
HUN,Hungary,Central-East,599,5.036727879799666,4.363939899833055,0.6727879799666111,0.05217046417097139,0.5610545353366723,0.7697625672416992,TRUE
LTU,Lithuania,Baltic,593,5.499831365935919,4.844856661045531,0.6549747048903879,0.05156332947206261,0.5581047404909125,0.7561167322465805,TRUE
SRB,Serbia,Southern,606,5.093069306930693,4.52970297029703,0.5633663366336634,0.05041837098789053,0.46631554822148885,0.6668564356435642,TRUE
BEL,Belgium,Western,595,5.031596638655462,4.476750700280112,0.5548459383753501,0.04938135883168101,0.4596545284780579,0.654563025210084,TRUE
AUT,Austria,Western,599,4.956594323873122,4.444629938786867,0.511964385086255,0.048165825501726864,0.41993878686700065,0.6122046002596921,TRUE
BGR,Bulgaria,Central-East,592,4.930743243243243,4.445945945945946,0.4847972972972973,0.05298175611756868,0.3792248498498499,0.5826266891891891,TRUE
DEU,Germany,Western,598,4.792307692307692,4.32329988851728,0.4690078037904124,0.049872402531065764,0.3699136008918618,0.569630248978075,TRUE
TUR,Turkey,Southern,599,4.809015025041736,4.377851975514747,0.4311630495269895,0.05045951328740675,0.341718605082545,0.5398562418846226,TRUE
POL,Poland,Central-East,600,5.0889999999999995,4.6994444444444445,0.3895555555555556,0.04864726713608572,0.29744444444444446,0.48847407407407406,TRUE
