country_iso3,country_name,cluster,construct_id,construct_label,n,mean,sd,se,ci_lower,ci_upper,scale_min,scale_max
SRB,Serbia,Southern,aband,Betrayal / abandonment,606,5.396039603960396,1.3586139466062002,0.05560255945113105,5.288228822882289,5.497973964063073,1,7
TUR,Turkey,Southern,aband,Betrayal / abandonment,599,5.097384529771842,1.5589418608006844,0.06276461535425931,4.968660730847709,5.217951214987942,1,7
BGR,Bulgaria,Central-East,aband,Betrayal / abandonment,592,4.9600225225225225,1.4439769817550965,0.061122310999407625,4.83974756006006,5.080325638138138,1,7
ITA,Italy,Southern,aband,Betrayal / abandonment,606,4.544554455445545,1.342029031867068,0.054464055420769215,4.4372937293729375,4.650701320132013,1,7
HUN,Hungary,Central-East,aband,Betrayal / abandonment,599,4.455203116304952,1.3191083123122354,0.05475846077824378,4.345766091634205,4.564083657948432,1,7
POL,Poland,Central-East,aband,Betrayal / abandonment,600,4.408333333333333,1.4938583846226416,0.060933013450146754,4.286300925925926,4.52925462962963,1,7
FRA,France,Western,aband,Betrayal / abandonment,596,4.359060402684563,1.3374201837091562,0.05536445433030711,4.252796420581656,4.471285421327368,1,7
BEL,Belgium,Western,aband,Betrayal / abandonment,595,4.253221288515406,1.4117400923806482,0.05719405420637834,4.134467787114845,4.357791783380018,1,7
AUT,Austria,Western,aband,Betrayal / abandonment,599,4.244296048970506,1.570424234052345,0.06412693022930704,4.121883695047301,4.3674411055462805,1,7
DEU,Germany,Western,aband,Betrayal / abandonment,598,4.191192865105909,1.4852248645099377,0.058579795730373044,4.079710144927536,4.304714790040877,1,7
LVA,Latvia,Baltic,aband,Betrayal / abandonment,596,4.1202460850111855,1.5222864317937965,0.06315136109479529,3.9966442953020134,4.244761372110365,1,7
LTU,Lithuania,Baltic,aband,Betrayal / abandonment,593,4.02079820123665,1.60205218661734,0.06578766748447137,3.901836237586659,4.1596402473299605,1,7
EST,Estonia,Baltic,aband,Betrayal / abandonment,604,3.5369757174392937,1.6885554288500575,0.06763724507530909,3.404902501839588,3.669048933038999,1,7
BGR,Bulgaria,Central-East,admir,Foreign-power admiration (composite),592,4.032094594594595,1.7065180235433737,0.07100057164596704,3.8959576764264265,4.1699418168168165,1,7
SRB,Serbia,Southern,admir,Foreign-power admiration (composite),606,3.8784378437843787,1.7097142797416311,0.06836305937545645,3.746793637697103,4.01557572423909,1,7
TUR,Turkey,Southern,admir,Foreign-power admiration (composite),599,3.4621591541457986,1.7679262073374118,0.07215434576507676,3.320446113893526,3.6058129289556673,1,7
HUN,Hungary,Central-East,admir,Foreign-power admiration (composite),599,3.051474680022259,1.5331688739474238,0.0597468255465352,2.931851697273233,3.1719532554257097,1,7
ITA,Italy,Southern,admir,Foreign-power admiration (composite),606,2.856710671067107,1.6268110280881047,0.06426387404529864,2.7396566740007335,2.982659515951595,1,7
DEU,Germany,Western,admir,Foreign-power admiration (composite),598,2.799609810479376,1.6331429816838205,0.06583765750295499,2.6723429951690822,2.929480211817168,1,7
AUT,Austria,Western,admir,Foreign-power admiration (composite),599,2.79827490261547,1.6862216220631188,0.07008692076606542,2.6633416805787427,2.9386709330365424,1,7
FRA,France,Western,admir,Foreign-power admiration (composite),596,2.7846756152125276,1.6433836070270054,0.06499288016806297,2.6573499254287847,2.9142314504101416,1,7
