country_iso3,country_name,cluster,fimi_variant,n_country,bayes_r2,residual_sd,max_rhat_country,global_max_rhat
AUT,Austria,Western,chinese,599,0.062490195281231904,0.950183575570738,1.0052836569703598,1.0083118235055244
BEL,Belgium,Western,chinese,595,0.1191744867845429,0.8875271248939285,1.0022138049473142,1.0083118235055244
BGR,Bulgaria,Central-East,chinese,592,0.08428526459773567,0.9788984853787513,1.0023427944046976,1.0083118235055244
DEU,Germany,Western,chinese,598,0.05627097396634668,0.9672455590696142,1.001723149345234,1.0083118235055244
EST,Estonia,Baltic,chinese,604,0.05629783910974169,0.9055335499372881,1.0029797686078183,1.0083118235055244
FRA,France,Western,chinese,596,0.058730848253979756,0.9615108529950361,1.0028445162446256,1.0083118235055244
HUN,Hungary,Central-East,chinese,599,0.06409202506969346,0.959032272682241,1.0018983388088676,1.0083118235055244
ITA,Italy,Southern,chinese,606,0.04644305110776979,0.9060644804746979,1.001186689025215,1.0083118235055244
LTU,Lithuania,Baltic,chinese,593,0.07825290444072613,0.9532815409055163,1.0018885738020398,1.0083118235055244
LVA,Latvia,Baltic,chinese,596,0.06957289878014607,0.8760045612851757,1.002060888634995,1.0083118235055244
POL,Poland,Central-East,chinese,600,0.06086792563484236,0.9659918097683834,1.0014677692413831,1.0083118235055244
SRB,Serbia,Southern,chinese,606,0.07132857440987554,0.9544921025316311,1.0012824735768444,1.0083118235055244
TUR,Turkey,Southern,chinese,599,0.10016018328601359,1.049806593751931,1.0030558151570346,1.0083118235055244
