country_iso3,country_name,cluster,fimi_variant,n_country,bayes_r2,residual_sd,max_rhat_country,global_max_rhat
AUT,Austria,Western,russian,599,0.1364552968101156,0.8150982716241482,1.0018966378650302,1.0060447137775828
BEL,Belgium,Western,russian,595,0.1762799326071173,0.8204011264463884,1.001403578314803,1.0060447137775828
BGR,Bulgaria,Central-East,russian,592,0.13731204399195152,0.9418648046153272,1.0045063577404816,1.0060447137775828
DEU,Germany,Western,russian,598,0.15895241776210162,0.8837143141197521,1.0014153518748288,1.0060447137775828
EST,Estonia,Baltic,russian,604,0.11802960896691193,0.9164421532765084,1.0057395405098999,1.0060447137775828
FRA,France,Western,russian,596,0.1701806554134119,0.9456419925147899,1.0032493981221968,1.0060447137775828
HUN,Hungary,Central-East,russian,599,0.1512757081771265,0.9404254108452682,1.0013876419754353,1.0060447137775828
ITA,Italy,Southern,russian,606,0.1470454409502399,0.8902566748139631,1.0012615748347418,1.0060447137775828
LTU,Lithuania,Baltic,russian,593,0.15694384840102643,0.9185856488048015,1.0030355645445228,1.0060447137775828
LVA,Latvia,Baltic,russian,596,0.18670618937824895,0.8090409339930161,1.0014172284888836,1.0060447137775828
POL,Poland,Central-East,russian,600,0.13194731091103135,0.877020185409902,1.0011184971763696,1.0060447137775828
SRB,Serbia,Southern,russian,606,0.07365708089800917,0.9465288867793705,1.003871738228253,1.0060447137775828
TUR,Turkey,Southern,russian,599,0.11133158092217453,1.0167653154730463,1.0013184244943716,1.0060447137775828
