country_iso3,country_name,cluster,fimi_variant,rank,predictor_id,std_all,posterior_sd,q025,q975,sig,shrinkage_pct,eu_pooled_mean,in_eu_pi95
AUT,Austria,Western,russian,1,ABAND,-0.24796200484528347,0.06859439662476749,-0.38664889986486195,-0.1210896051284107,TRUE,0.4686931488767585,-0.1273620584280204,FALSE
AUT,Austria,Western,russian,2,FEAR,0.24468668431097826,0.03877710043517967,0.1672910106605006,0.32265976519300854,TRUE,0.6571145198669472,0.23800164128225135,TRUE
AUT,Austria,Western,russian,3,SUPF,-0.22486301687963095,0.06926073942160885,-0.3763713015334562,-0.0991932892691195,TRUE,0.8366989888367471,-0.2057783272736831,TRUE
BEL,Belgium,Western,russian,1,FEAR,0.31354877111579116,0.04251777906831285,0.23499374476168894,0.39793432652691363,TRUE,0.34507059325941436,0.23800164128225135,TRUE
BEL,Belgium,Western,russian,2,THREAT,0.18971554611925764,0.059576497509533324,0.07788460927776124,0.30604314388307696,TRUE,0.3100913615806109,0.12506106610525658,TRUE
BEL,Belgium,Western,russian,3,SUPF,-0.18739182451150702,0.06718760443919157,-0.31682328095799606,-0.045195585639520246,TRUE,0.6476683647411161,-0.2057783272736831,TRUE
BGR,Bulgaria,Central-East,russian,1,FEAR,0.2965520110302383,0.03773319338829982,0.22257748790459708,0.3697237637883969,TRUE,0.1631395803677097,0.23800164128225135,TRUE
BGR,Bulgaria,Central-East,russian,2,SUPF,-0.27094662444651507,0.07777388562281279,-0.45100119798444294,-0.14393045746985783,TRUE,0.7348005793196981,-0.2057783272736831,FALSE
BGR,Bulgaria,Central-East,russian,3,THREAT,0.0972480604362752,0.058621127059012,-0.019504557737208213,0.21250216673609992,FALSE,0.5726549175507651,0.12506106610525658,TRUE
DEU,Germany,Western,russian,1,FEAR,0.24100027055709794,0.03874671148340079,0.16597798221187873,0.31661048102246075,TRUE,0.7810031754768838,0.23800164128225135,TRUE
DEU,Germany,Western,russian,2,THREAT,0.23570752754569835,0.06001782296653247,0.12099116590008605,0.3563573468911012,TRUE,0.3801032670042185,0.12506106610525658,TRUE
DEU,Germany,Western,russian,3,ABAND,-0.22079630639687425,0.06659009578640296,-0.354908819168114,-0.09404445395756818,TRUE,0.45998106473453937,-0.1273620584280204,TRUE
EST,Estonia,Baltic,russian,1,SUPF,-0.2803713281825687,0.09420033953701944,-0.4953157851282247,-0.1276325316002562,TRUE,0.7643335592365256,-0.2057783272736831,FALSE
EST,Estonia,Baltic,russian,2,ABAND,-0.17191210061249174,0.05561928852693528,-0.2836848846521973,-0.06477900078163691,TRUE,0.1416828385539186,-0.1273620584280204,TRUE
EST,Estonia,Baltic,russian,3,FEAR,0.16219396162385008,0.03849662514679404,0.08505311983512981,0.23444002262500593,TRUE,0.2536599904626351,0.23800164128225135,TRUE
FRA,France,Western,russian,1,FEAR,0.31835095026193844,0.04506924546652755,0.23593330410445248,0.4098086179094702,TRUE,0.34010683120390206,0.23800164128225135,TRUE
FRA,France,Western,russian,2,SUPF,-0.2538124619139725,0.06785960180619462,-0.3995972513875875,-0.13421921073796372,TRUE,0.558482379343195,-0.2057783272736831,TRUE
FRA,France,Western,russian,3,THREAT,0.10435343839987168,0.05597329237297131,-0.008700911493975727,0.2129154743586884,FALSE,0.5650937772517974,0.12506106610525658,TRUE
HUN,Hungary,Central-East,russian,1,FEAR,0.22985327281753906,0.039238409360828,0.1518288222314914,0.3066070154121138,TRUE,0.5752954334051363,0.23800164128225135,TRUE
HUN,Hungary,Central-East,russian,2,SUPF,-0.21917809610888694,0.06578894084359561,-0.3511939344206372,-0.08378156885521157,TRUE,1.7168295360402759,-0.2057783272736831,TRUE
HUN,Hungary,Central-East,russian,3,GEN,-0.13926680700006894,0.07443664197043938,-0.2916697063236731,2.3339698179621762e-4,FALSE,0.22596577081684854,-0.03880842069144989,TRUE
ITA,Italy,Southern,russian,1,FEAR,0.27590858101852733,0.041152484039769635,0.1986183775350571,0.3598792966738452,TRUE,0.4872571708599909,0.23800164128225135,TRUE
ITA,Italy,Southern,russian,2,SUPF,-0.20658383041280431,0.06234313067401753,-0.3287582023432292,-0.07814767371145041,TRUE,1.0151918480938176,-0.2057783272736831,TRUE
