# Short DisInforMeter language matrix (Annex B)
#
# STATUS: STUB.  English wording authoritative; other-language columns
# REQUIRE translator-confirmed verification against the original
# Qualtrics localisations used in the S4 (Dec 2025) deployment.
#
# Generated:        2026-05-26T20:34:47Z
# Generated by:     R/policy_report/07b_short_disinformeter_languages.R
#
# Primary languages (S4 n >= 50): BG, DE, EN, ET, FR, HU, IT, LT, LV, NL, PL, RU, SR, TR
# Trace languages excluded (S4 n < 50): AR, FA, ZH-S
#
# Read with `readr::read_csv(path, comment = "#")`.
# ---------------------------------------------------------------------
"item_code","construct","origin","english","BG","DE","EN","ET","FR","HU","IT","LT","LV","NL","PL","RU","SR","TR"
"gen1","GEN",,"I have a very negative feeling about how my state handles external threats.",,,,,,,,,,,,,,
"gen2","GEN",,"I dislike the actions of our international allies in ensuring the safety of my state.",,,,,,,,,,,,,,
"gen3","GEN",,"I fear the consequences of provoking countries like Russia or China",,,,,,,,,,,,,,
"gen5","GEN",,"I like Russia.",,,,,,,,,,,,,,
"gen7","GEN",,"I like China.",,,,,,,,,,,,,,
"th6","THREAT",,"I am angry when I think about how my country is being used by foreign countries.",,,,,,,,,,,,,,
"th9","THREAT",,"I am worried about the spread of LGBT+ propaganda.",,,,,,,,,,,,,,
"ab2","ABAND",,"I feel disappointed by the actions of the international allies in protecting my country.",,,,,,,,,,,,,,
"ab4","ABAND",,"I’m angry at my state for failing to protect the interests of its citizens.",,,,,,,,,,,,,,
"ab7","ABAND",,"I feel angry because the knowledge I want to access is being censored in my state.",,,,,,,,,,,,,,
"pa1","FEAR",,"I feel tense when thinking about potential conflicts with countries like Russia or China.",,,,,,,,,,,,,,
"pa2","FEAR",,"I would feel safer if peace with countries like Russia or China is struck at any cost",,,,,,,,,,,,,,
"pa4","FEAR",,"I’m anxious about the consequences of a conflict with countries like Russia or China",,,,,,,,,,,,,,
"fru1","SUPF",,"To a certain extent, I admire Russia.",,,,,,,,,,,,,,
"fru2","SUPF",,"Sometimes, I feel inspired by the actions of Russia.",,,,,,,,,,,,,,
"fru3","SUPF",,"Russia gives me hope.",,,,,,,,,,,,,,
"fch1","SUPFCH",,"To a certain extent, I admire China.",,,,,,,,,,,,,,
"fch2","SUPFCH",,"Sometimes, I feel inspired by the actions of China.",,,,,,,,,,,,,,
"fch3","SUPFCH",,"China gives me hope.",,,,,,,,,,,,,,
"news1","FIMI","Russian-origin","Zelensky bought a British mansion from King Charles for 20 million pounds",,,,,,,,,,,,,,
"news2","FIMI","Russian-origin","France asked Russia not to touch the French military in Ukraine",,,,,,,,,,,,,,
"news3","FIMI","Russian-origin","The 2026 Milan–Cortina d'Ampezzo Olympics and Paralympics will be openly LGBT++",,,,,,,,,,,,,,
"news4","FIMI","Russian-origin","Ukrainian army is looking for a mentor on tolerance working for front lines",,,,,,,,,,,,,,
"news5","FIMI","Russian-origin","Gays and transvestites in Kiev are invited to join LGBT brigades",,,,,,,,,,,,,,
"news6","FIMI","Chinese-origin","Li-Meng Yan, a Chinese virologist who alleges that the COVID-19 virus originated from a Chinese government laboratory is a complete rumor maker",,,,,,,,,,,,,,
"news7","FIMI","Chinese-origin","CGTN: Closer People-to-People Bonds foster China-Vietnam Friendship",,,,,,,,,,,,,,
"news8","FIMI","Chinese-origin","The plague-like rule of extreme right-wing religious leader Li Hongzhi who is banned in China",,,,,,,,,,,,,,
